,subject,task,response_rate,percent_lottery,percent_risk,percent_ambiguity,conf_1,conf_2,conf_3,conf_4,negLL,gamma,beta,alpha,at_bound,LL,LL0,AIC,BIC,R2,correct,prob_span,fig_fn
35,23_IDM_0036,CRDM,0.951807229,0.848101266,0.755102041,1,0,4,8,67,5.343633527,7.187060835,3.745221717,0.398947711,0,-5.343633527,-54.75862726,16.68726705,19.42616276,0.902414765,0.974683544,0.999993921,23_IDM_0036/crdm/23_IDM_0036_crdm_model_fit.eps
36,23_IDM_0037,CRDM,0.963855422,0.425,0.46,0.366666667,6,15,43,16,52.05004073,0.008898413,-0.446904619,1.43052908,0,-52.05004073,-55.45177444,110.1000815,112.8641347,0.061345805,0.6,0.366056582,23_IDM_0037/crdm/23_IDM_0037_crdm_model_fit.eps
37,23_IDM_0038,CRDM,0.963855422,0.4875,0.46,0.533333333,1,20,58,0,32.81020483,0.522444361,1.091066946,0.933646718,0,-32.81020483,-55.45177444,71.62040966,74.38446293,0.408311003,0.8375,0.892977099,23_IDM_0038/crdm/23_IDM_0038_crdm_model_fit.eps
38,23_IDM_0039,CRDM,0.963855422,0.4125,0.42,0.4,7,13,25,35,12.7130933,0.779683438,0.558365934,1.164647634,0,-12.7130933,-55.45177444,31.42618659,34.19023986,0.770736042,0.9375,0.988117124,23_IDM_0039/crdm/23_IDM_0039_crdm_model_fit.eps
39,23_IDM_0040,CRDM,0.963855422,0.6125,0.62,0.6,8,39,19,12,52.65558949,0.57116116,1.400003283,0.222574644,0,-52.65558949,-55.45177444,111.311179,114.0752323,0.050425527,0.6125,0.250158045,23_IDM_0040/crdm/23_IDM_0040_crdm_model_fit.eps
40,23_IDM_0041,CRDM,0.963855422,0.575,0.56,0.6,0,0,43,37,9.783152574,2.825627314,0.924941619,0.793854852,0,-9.783152574,-55.45177444,25.56630515,28.33035842,0.823573679,0.95,0.999852412,23_IDM_0041/crdm/23_IDM_0041_crdm_model_fit.eps
41,23_IDM_0042,CRDM,0.951807229,0.443037975,0.46,0.413793103,0,17,24,38,16.78088222,0.989934792,0.3500926,0.981111379,0,-16.78088222,-54.75862726,39.56176444,42.30066015,0.693548157,0.911392405,0.984891544,23_IDM_0042/crdm/23_IDM_0042_crdm_model_fit.eps
42,23_IDM_0043,CRDM,0.951807229,0.873417722,0.795918367,1,0,2,16,61,8.817164708,5.249579596,4.167,0.308753075,1,-8.817164708,-54.75862726,23.63432942,26.37322512,0.838981268,0.949367089,0.989506528,23_IDM_0043/crdm/23_IDM_0043_crdm_model_fit.eps
43,23_IDM_0044,CRDM,0.963855422,0.675,0.72,0.6,1,10,14,55,15.35783616,4.746199547,0.111232914,0.451331113,0,-15.35783616,-55.45177444,36.71567231,39.47972558,0.723041574,0.95,0.999787255,23_IDM_0044/crdm/23_IDM_0044_crdm_model_fit.eps
44,23_IDM_0045,CRDM,0.963855422,0.7875,0.7,0.933333333,2,5,13,58,11.03763929,4.551955558,1.347609117,0.487598312,0,-11.03763929,-55.45177444,28.07527857,30.83933184,0.800950657,0.9125,0.9999507,23_IDM_0045/crdm/23_IDM_0045_crdm_model_fit.eps
45,23_IDM_0046,CRDM,0.963855422,0.6125,0.72,0.433333333,11,8,14,47,18.45805097,3.520499451,-0.108769292,0.475388344,0,-18.45805097,-55.45177444,42.91610194,45.68015521,0.667133267,0.8875,0.998534304,23_IDM_0046/crdm/23_IDM_0046_crdm_model_fit.eps
46,23_IDM_0047,CRDM,0.963855422,0.5875,0.56,0.633333333,2,10,42,26,47.16745556,0.689192607,0.334927843,0.572698201,0,-47.16745556,-55.45177444,100.3349111,103.0989644,0.149396822,0.7875,0.77655106,23_IDM_0047/crdm/23_IDM_0047_crdm_model_fit.eps
47,23_IDM_0048,CRDM,0.963855422,0.4875,0.48,0.5,6,15,16,43,23.94402022,0.967819123,0.614366974,0.854598126,0,-23.94402022,-55.45177444,53.88804044,56.65209371,0.56820101,0.8625,0.965496813,23_IDM_0048/crdm/23_IDM_0048_crdm_model_fit.eps
48,23_IDM_0049,CRDM,0.927710843,0.506493506,0.56,0.407407407,0,6,39,31,49.26716508,0.591516011,-0.435222871,0.461775433,0,-49.26716508,-53.3723329,104.5343302,107.221941,0.076915653,0.623376623,0.558039455,23_IDM_0049/crdm/23_IDM_0049_crdm_model_fit.eps
49,23_IDM_0050,CRDM,0.963855422,0.425,0.44,0.4,11,24,15,30,10.56057168,1.091146265,0.493905157,1.091364594,0,-10.56057168,-55.45177444,27.12114337,29.88519664,0.809553945,0.95,0.995923218,23_IDM_0050/crdm/23_IDM_0050_crdm_model_fit.eps
50,23_IDM_0051,CRDM,0.963855422,0.5125,0.58,0.4,6,26,34,13,20.51825097,2.001346498,-0.198423248,0.628445564,0,-20.51825097,-55.45177444,47.03650193,49.8005552,0.629980264,0.9375,0.991729461,23_IDM_0051/crdm/23_IDM_0051_crdm_model_fit.eps
51,23_IDM_0052,CRDM,0.963855422,0.6625,0.66,0.666666667,0,10,59,11,19.5811414,2.970462457,0.657855034,0.544284528,0,-19.5811414,-55.45177444,45.1622828,47.92633607,0.646879805,0.9125,0.997976748,23_IDM_0052/crdm/23_IDM_0052_crdm_model_fit.eps
52,23_IDM_0053,CRDM,0.963855422,0.6875,0.68,0.7,0,13,34,31,21.70317066,3.055826582,0.547081938,0.498788438,0,-21.70317066,-55.45177444,49.40634132,52.17039459,0.608611792,0.8875,0.997266371,23_IDM_0053/crdm/23_IDM_0053_crdm_model_fit.eps
53,23_IDM_0054,CRDM,0.963855422,0.8125,0.74,0.933333333,0,0,12,67,9.888921246,6.441377437,0.842426693,0.406188897,0,-9.888921246,-55.45177444,25.77784249,28.54189576,0.821666279,0.9375,0.999966485,23_IDM_0054/crdm/23_IDM_0054_crdm_model_fit.eps
54,23_IDM_0055,CRDM,0.963855422,0.6,0.68,0.466666667,5,13,20,42,7.833983039,7.567874454,0.178419486,0.57915296,0,-7.833983039,-55.45177444,21.66796608,24.43201935,0.858724394,0.975,0.999999945,23_IDM_0055/crdm/23_IDM_0055_crdm_model_fit.eps
55,23_IDM_0056,CRDM,0.951807229,0.949367089,0.92,1,0,0,1,78,2.758114139,8,4.047213581,0.198391643,1,-2.758114139,-54.75862726,11.51622828,14.25512398,0.949631423,1,0.883782703,23_IDM_0056/crdm/23_IDM_0056_crdm_model_fit.eps
56,23_IDM_0057,CRDM,0.963855422,0.8375,0.84,0.833333333,0,0,0,80,16.68992447,6.203372055,0.155313895,0.322066997,0,-16.68992447,-55.45177444,39.37984894,42.14390221,0.699019109,0.9125,0.99737178,23_IDM_0057/crdm/23_IDM_0057_crdm_model_fit.eps
57,23_IDM_0058,CRDM,0.963855422,0.625,0.74,0.433333333,10,12,8,47,34.8144185,2.469502541,-0.92732155,0.318113781,0,-34.8144185,-55.45177444,75.628837,78.39289027,0.372167638,0.825,0.930166257,23_IDM_0058/crdm/23_IDM_0058_crdm_model_fit.eps
